               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,              1.6055,            0.042236,                   0,             0.12702,             0.55195,             0.33507,            0.069737,              2.4555,            0.038695,                   0,           0.0099666,           0.0099666,           0.0099666
                  39,              1.6949,            0.042416,                   0,             0.21448,             0.79058,             0.56883,             0.19236,              1.9235,            0.042408,                   0,           0.0099648,           0.0099648,           0.0099648
                  40,              1.5956,            0.042738,                   0,             0.13883,             0.60877,             0.40152,              0.1002,              2.4643,            0.037888,                   0,           0.0099629,           0.0099629,           0.0099629
                  41,              1.6526,             0.04109,                   0,             0.16285,             0.49188,               0.276,            0.061654,              2.6123,            0.035468,                   0,            0.009961,            0.009961,            0.009961
                  42,              1.6236,            0.042396,                   0,             0.20107,             0.80195,             0.57064,             0.24891,              1.7587,            0.043639,                   0,            0.009959,            0.009959,            0.009959
                  43,              1.6424,            0.042602,                   0,             0.16549,             0.81818,             0.54275,             0.26056,               1.595,            0.045996,                   0,            0.009957,            0.009957,            0.009957
                  44,              1.6469,             0.04174,                   0,             0.21468,             0.80357,             0.55876,             0.24427,              1.6461,            0.044421,                   0,           0.0099549,           0.0099549,           0.0099549
                  45,              1.6075,            0.042543,                   0,             0.19157,             0.81656,             0.56345,             0.24221,              1.6875,             0.04364,                   0,           0.0099528,           0.0099528,           0.0099528
                  46,              1.6151,            0.041591,                   0,             0.29223,             0.77273,             0.54083,             0.21196,              1.8984,            0.041257,                   0,           0.0099506,           0.0099506,           0.0099506
                  47,              1.6524,            0.040634,                   0,             0.37115,             0.78247,             0.51927,             0.21907,              1.7774,            0.042498,                   0,           0.0099484,           0.0099484,           0.0099484
                  48,              1.6197,            0.041063,                   0,             0.30682,              0.7776,             0.54107,             0.18864,               1.829,            0.042004,                   0,           0.0099461,           0.0099461,           0.0099461
                  49,              1.5847,            0.041148,                   0,             0.36344,             0.72078,             0.58839,             0.18321,              2.0381,            0.038884,                   0,           0.0099438,           0.0099438,           0.0099438
                  50,              1.5833,            0.041465,                   0,             0.38678,             0.75325,             0.51864,             0.19852,              1.8576,            0.041065,                   0,           0.0099415,           0.0099415,           0.0099415
                  51,              1.5997,            0.040338,                   0,             0.37513,             0.69876,             0.46596,             0.20851,              1.7001,            0.042329,                   0,           0.0099391,           0.0099391,           0.0099391
                  52,              1.5999,            0.041222,                   0,              0.2298,             0.66234,             0.36053,             0.15916,              1.7047,            0.043809,                   0,           0.0099366,           0.0099366,           0.0099366
                  53,              1.6325,            0.040424,                   0,             0.26936,             0.75812,             0.41831,             0.18375,              1.7589,            0.042474,                   0,           0.0099341,           0.0099341,           0.0099341
                  54,              1.6047,            0.040281,                   0,             0.48398,             0.77273,             0.63365,             0.27816,              1.7082,            0.041995,                   0,           0.0099315,           0.0099315,           0.0099315
                  55,              1.6383,            0.040081,                   0,             0.43229,             0.75649,             0.59166,             0.23323,              1.7854,            0.041926,                   0,           0.0099289,           0.0099289,           0.0099289
                  56,              1.5867,            0.040323,                   0,             0.46949,             0.74351,             0.56486,             0.21164,              1.9235,            0.038808,                   0,           0.0099263,           0.0099263,           0.0099263
                  57,              1.5876,            0.039846,                   0,              0.4432,             0.73539,             0.57988,              0.1924,              2.0075,            0.038216,                   0,           0.0099236,           0.0099236,           0.0099236
                  58,              1.5752,            0.038993,                   0,              0.4792,             0.77597,             0.54127,             0.21307,              1.8198,            0.039235,                   0,           0.0099208,           0.0099208,           0.0099208
                  59,              1.6557,            0.039805,                   0,             0.54457,             0.75649,              0.6245,             0.28642,              1.5673,            0.042062,                   0,           0.0099181,           0.0099181,           0.0099181
                  60,               1.562,             0.04091,                   0,             0.37725,             0.59202,             0.40592,             0.17748,               1.623,            0.043369,                   0,           0.0099152,           0.0099152,           0.0099152
                  61,              1.5674,             0.04066,                   0,             0.58362,              0.7289,              0.6269,             0.24165,              1.8361,            0.039855,                   0,           0.0099123,           0.0099123,           0.0099123
                  62,              1.5653,            0.039781,                   0,             0.51788,             0.74675,              0.6539,             0.25767,              1.8215,            0.038831,                   0,           0.0099094,           0.0099094,           0.0099094
                  63,              1.5633,            0.039843,                   0,             0.43469,             0.73864,             0.55592,             0.20464,              1.7565,            0.040166,                   0,           0.0099064,           0.0099064,           0.0099064
                  64,              1.5444,            0.040631,                   0,              0.4474,             0.75487,             0.55103,             0.22634,               1.662,            0.041367,                   0,           0.0099034,           0.0099034,           0.0099034
                  65,              1.5446,            0.039448,                   0,             0.46748,             0.73377,             0.53874,             0.26173,              1.5571,            0.042016,                   0,           0.0099003,           0.0099003,           0.0099003
                  66,              1.5761,            0.038487,                   0,             0.63434,             0.74067,             0.66972,             0.28682,              1.7588,            0.040023,                   0,           0.0098972,           0.0098972,           0.0098972
                  67,              1.5427,            0.040015,                   0,             0.55031,             0.76136,             0.62256,             0.26845,              1.9004,            0.039427,                   0,            0.009894,            0.009894,            0.009894
                  68,              1.5096,            0.038072,                   0,             0.49999,             0.64446,              0.5062,             0.13746,              2.3474,            0.035592,                   0,           0.0098908,           0.0098908,           0.0098908
                  69,              1.5442,            0.038648,                   0,             0.58252,             0.77435,             0.65788,             0.32389,              1.5491,            0.042067,                   0,           0.0098875,           0.0098875,           0.0098875
                  70,              1.5864,            0.038264,                   0,             0.37452,             0.78409,             0.49119,             0.21692,              1.5837,            0.041807,                   0,           0.0098842,           0.0098842,           0.0098842
                  71,              1.5213,             0.03834,                   0,             0.45806,             0.77922,             0.59966,             0.27958,              1.5651,            0.041878,                   0,           0.0098808,           0.0098808,           0.0098808
                  72,              1.5561,             0.03882,                   0,             0.48009,             0.69156,             0.52372,              0.1564,              2.0425,            0.037211,                   0,           0.0098774,           0.0098774,           0.0098774
                  73,              1.5572,            0.038299,                   0,             0.49478,             0.71429,             0.53673,             0.18467,              1.9529,            0.036832,                   0,           0.0098739,           0.0098739,           0.0098739
                  74,              1.4817,            0.037375,                   0,             0.54543,             0.78084,             0.65485,             0.28013,              1.6407,            0.039443,                   0,           0.0098704,           0.0098704,           0.0098704
                  75,               1.556,            0.037337,                   0,             0.53097,              0.7224,             0.64581,             0.25361,              1.7517,            0.038253,                   0,           0.0098668,           0.0098668,           0.0098668
                  76,              1.5364,            0.037324,                   0,             0.67075,             0.76786,              0.7464,             0.36674,              1.5389,            0.038741,                   0,           0.0098632,           0.0098632,           0.0098632
                  77,              1.6019,            0.037224,                   0,             0.67322,             0.76786,             0.72196,             0.29517,              1.7802,            0.037528,                   0,           0.0098596,           0.0098596,           0.0098596
                  78,              1.5491,            0.037867,                   0,             0.59569,             0.74351,             0.66294,             0.33976,              1.5499,            0.039434,                   0,           0.0098559,           0.0098559,           0.0098559
                  79,              1.4895,            0.037315,                   0,             0.45117,             0.75487,             0.56509,             0.24955,              1.7913,            0.039003,                   0,           0.0098521,           0.0098521,           0.0098521
                  80,              1.5237,            0.037194,                   0,             0.45678,             0.77922,             0.56122,             0.23951,              1.7276,            0.039228,                   0,           0.0098483,           0.0098483,           0.0098483
                  81,              1.5421,            0.036408,                   0,             0.45545,             0.74675,             0.55504,             0.21248,              1.9129,            0.037009,                   0,           0.0098445,           0.0098445,           0.0098445
                  82,              1.5132,               0.038,                   0,             0.50775,             0.74838,             0.55479,             0.20782,              1.9396,            0.036865,                   0,           0.0098406,           0.0098406,           0.0098406
                  83,              1.5264,            0.037244,                   0,             0.49631,             0.77435,             0.56117,             0.27384,              1.5326,            0.040352,                   0,           0.0098367,           0.0098367,           0.0098367
                  84,              1.5016,            0.037409,                   0,             0.61215,             0.74026,             0.66722,             0.32462,                1.62,            0.038848,                   0,           0.0098327,           0.0098327,           0.0098327
                  85,              1.5048,            0.036366,                   0,             0.70501,             0.74492,             0.73256,             0.30876,              1.5921,            0.038898,                   0,           0.0098286,           0.0098286,           0.0098286
                  86,              1.5384,             0.03748,                   0,             0.70201,             0.74188,             0.72008,             0.25634,              1.7832,            0.036846,                   0,           0.0098246,           0.0098246,           0.0098246
                  87,               1.514,            0.035754,                   0,             0.67525,             0.72909,             0.71498,              0.2915,              1.7674,            0.036762,                   0,           0.0098204,           0.0098204,           0.0098204
                  88,              1.5059,            0.037446,                   0,              0.6691,             0.68277,             0.68741,             0.27409,              1.8601,             0.03565,                   0,           0.0098163,           0.0098163,           0.0098163
                  89,              1.5463,             0.03647,                   0,             0.59838,             0.71591,             0.64591,             0.24139,              1.8014,            0.036279,                   0,            0.009812,            0.009812,            0.009812
                  90,              1.5062,            0.037267,                   0,             0.68302,             0.72078,             0.68347,             0.29136,              1.8084,            0.034958,                   0,           0.0098078,           0.0098078,           0.0098078
                  91,              1.4871,            0.037749,                   0,             0.40359,             0.68669,             0.51133,             0.25819,              1.5143,            0.041608,                   0,           0.0098035,           0.0098035,           0.0098035
                  92,              1.5162,            0.036721,                   0,             0.64328,             0.72895,             0.68144,             0.30635,              1.7361,             0.03582,                   0,           0.0097991,           0.0097991,           0.0097991
                  93,              1.5143,             0.03529,                   0,             0.70668,             0.73864,             0.73397,             0.36357,               1.541,            0.037764,                   0,           0.0097947,           0.0097947,           0.0097947
                  94,              1.5012,            0.035618,                   0,             0.60933,             0.75974,             0.71433,             0.36403,              1.4681,            0.037994,                   0,           0.0097902,           0.0097902,           0.0097902
                  95,              1.4896,             0.03624,                   0,             0.66366,              0.6461,             0.63734,             0.24173,              1.9198,            0.034129,                   0,           0.0097857,           0.0097857,           0.0097857
                  96,              1.4652,            0.036038,                   0,             0.63269,             0.70779,             0.65786,              0.2693,              1.7799,            0.034903,                   0,           0.0097812,           0.0097812,           0.0097812
                  97,              1.4821,            0.034934,                   0,             0.61915,             0.72565,             0.68726,             0.31614,              1.6796,            0.035461,                   0,           0.0097766,           0.0097766,           0.0097766
                  98,              1.4724,            0.034589,                   0,             0.59071,             0.70942,             0.66094,             0.30948,              1.6556,            0.035765,                   0,           0.0097719,           0.0097719,           0.0097719
                  99,              1.4605,             0.03472,                   0,             0.69856,             0.70617,             0.70388,              0.2946,              1.7352,            0.035288,                   0,           0.0097672,           0.0097672,           0.0097672
                 100,               1.498,            0.033957,                   0,             0.59726,             0.73701,             0.63933,             0.29277,              1.5955,            0.036324,                   0,           0.0097625,           0.0097625,           0.0097625
                 101,              1.5053,            0.034719,                   0,             0.67456,             0.69653,             0.67691,             0.29011,              1.6469,            0.036776,                   0,           0.0097577,           0.0097577,           0.0097577
                 102,              1.4773,            0.035837,                   0,             0.59152,             0.72727,             0.66774,             0.27467,              1.6111,             0.03611,                   0,           0.0097529,           0.0097529,           0.0097529
                 103,              1.4683,             0.03501,                   0,             0.68019,             0.73539,             0.72883,             0.36104,              1.4994,            0.036608,                   0,            0.009748,            0.009748,            0.009748
                 104,              1.4512,             0.03374,                   0,               0.675,             0.73864,             0.71352,             0.33127,              1.5323,            0.036002,                   0,           0.0097431,           0.0097431,           0.0097431
                 105,              1.5014,            0.034013,                   0,             0.64449,             0.59578,             0.55047,             0.19465,              1.8492,            0.035516,                   0,           0.0097381,           0.0097381,           0.0097381
                 106,              1.4888,            0.033653,                   0,              0.6074,             0.65097,             0.57487,             0.19383,               1.828,            0.034205,                   0,           0.0097331,           0.0097331,           0.0097331
                 107,              1.4677,            0.033781,                   0,             0.68793,              0.7013,             0.68246,             0.24211,              1.7863,            0.034065,                   0,           0.0097281,           0.0097281,           0.0097281
                 108,              1.4637,            0.033861,                   0,             0.62431,             0.71429,             0.66578,             0.26622,              1.6957,            0.036387,                   0,            0.009723,            0.009723,            0.009723
                 109,              1.4533,            0.034535,                   0,             0.71454,             0.70455,             0.69442,             0.29591,              1.7077,            0.035252,                   0,           0.0097178,           0.0097178,           0.0097178
                 110,              1.4643,            0.035513,                   0,             0.68462,             0.68669,             0.65827,             0.28104,              1.6546,            0.036049,                   0,           0.0097126,           0.0097126,           0.0097126
                 111,              1.4743,            0.033071,                   0,             0.70024,             0.72433,             0.69111,             0.31414,              1.5871,            0.035156,                   0,           0.0097074,           0.0097074,           0.0097074
                 112,              1.4799,            0.033303,                   0,             0.71221,              0.7111,             0.69858,             0.30838,              1.5015,            0.035548,                   0,           0.0097021,           0.0097021,           0.0097021
                 113,              1.4623,            0.032511,                   0,              0.6422,             0.68994,             0.64884,             0.31776,              1.5409,            0.037519,                   0,           0.0096967,           0.0096967,           0.0096967
                 114,              1.4538,            0.033663,                   0,             0.70843,             0.69805,             0.69836,             0.32408,              1.4987,            0.036471,                   0,           0.0096914,           0.0096914,           0.0096914
                 115,              1.4221,            0.033869,                   0,             0.76032,             0.73126,             0.74832,             0.37562,              1.4594,            0.034595,                   0,           0.0096859,           0.0096859,           0.0096859
                 116,              1.4956,            0.033167,                   0,             0.74603,             0.72565,             0.75592,             0.37666,              1.4497,            0.034601,                   0,           0.0096804,           0.0096804,           0.0096804
                 117,              1.4321,            0.032536,                   0,             0.74768,             0.73599,              0.7573,             0.38106,              1.4977,            0.033877,                   0,           0.0096749,           0.0096749,           0.0096749
                 118,              1.4667,            0.033618,                   0,              0.7378,             0.68669,             0.69623,             0.28831,              1.6389,            0.034758,                   0,           0.0096694,           0.0096694,           0.0096694
                 119,              1.4487,            0.033245,                   0,             0.81772,             0.71753,             0.75611,             0.38895,              1.4491,             0.03868,                   0,           0.0096638,           0.0096638,           0.0096638
                 120,              1.4305,            0.032701,                   0,             0.75663,             0.71753,             0.72745,             0.34393,              1.5305,            0.035386,                   0,           0.0096581,           0.0096581,           0.0096581
                 121,              1.4555,            0.033183,                   0,             0.65755,             0.67532,             0.62837,             0.19279,              1.9436,            0.032085,                   0,           0.0096524,           0.0096524,           0.0096524
                 122,              1.4618,            0.032826,                   0,             0.66086,             0.73701,             0.69806,             0.32843,              1.5143,            0.033777,                   0,           0.0096466,           0.0096466,           0.0096466
                 123,              1.4665,            0.033118,                   0,             0.64781,              0.7224,              0.6664,             0.26053,              1.7434,            0.033493,                   0,           0.0096409,           0.0096409,           0.0096409
                 124,               1.427,            0.032858,                   0,             0.69358,             0.70918,             0.71033,             0.34051,              1.5658,            0.033609,                   0,            0.009635,            0.009635,            0.009635
                 125,              1.4673,            0.032751,                   0,             0.70824,              0.6778,             0.67434,             0.30917,              1.4848,            0.036218,                   0,           0.0096291,           0.0096291,           0.0096291
                 126,              1.4663,            0.033106,                   0,             0.65339,             0.68994,             0.67766,             0.34437,                1.47,            0.036929,                   0,           0.0096232,           0.0096232,           0.0096232
                 127,              1.4415,            0.032696,                   0,             0.77145,             0.70136,             0.72577,             0.35679,              1.5086,            0.034314,                   0,           0.0096172,           0.0096172,           0.0096172
                 128,              1.4249,            0.032836,                   0,             0.78834,             0.70455,              0.7377,             0.39496,              1.3851,            0.035049,                   0,           0.0096112,           0.0096112,           0.0096112
                 129,              1.4582,            0.032758,                   0,             0.76695,             0.66883,             0.70322,             0.36091,              1.4166,            0.037144,                   0,           0.0096051,           0.0096051,           0.0096051
                 130,              1.4362,            0.032818,                   0,             0.75553,             0.69735,             0.71634,             0.33316,              1.5186,            0.035074,                   0,            0.009599,            0.009599,            0.009599
                 131,              1.4568,            0.031973,                   0,             0.72994,             0.69968,             0.72943,             0.37275,              1.4452,            0.035375,                   0,           0.0095929,           0.0095929,           0.0095929
                 132,              1.4396,             0.03294,                   0,             0.66012,             0.73052,             0.63839,             0.29128,              1.5496,            0.034782,                   0,           0.0095867,           0.0095867,           0.0095867
                 133,              1.4315,            0.031614,                   0,             0.76015,             0.71916,             0.73655,             0.39298,              1.4224,              0.0339,                   0,           0.0095804,           0.0095804,           0.0095804
                 134,              1.4363,             0.03109,                   0,             0.77588,             0.68562,               0.725,             0.38446,              1.4466,            0.035074,                   0,           0.0095742,           0.0095742,           0.0095742
                 135,              1.4896,            0.032788,                   0,             0.75718,             0.71591,             0.77127,             0.40672,              1.3789,            0.035777,                   0,           0.0095678,           0.0095678,           0.0095678
                 136,              1.4208,            0.033188,                   0,             0.81971,             0.72078,             0.79529,             0.39209,              1.4347,             0.03522,                   0,           0.0095614,           0.0095614,           0.0095614
                 137,              1.3926,             0.03068,                   0,             0.79768,             0.66234,              0.7366,             0.37404,              1.4884,            0.033123,                   0,            0.009555,            0.009555,            0.009555
                 138,              1.4862,            0.031023,                   0,             0.81328,              0.7224,             0.77569,             0.40992,              1.4485,            0.033914,                   0,           0.0095486,           0.0095486,           0.0095486
                 139,              1.4487,            0.032237,                   0,             0.79363,             0.70942,             0.73474,             0.34243,              1.6452,            0.032303,                   0,            0.009542,            0.009542,            0.009542
                 140,              1.4559,            0.031981,                   0,             0.76111,             0.69968,             0.72088,             0.30949,              1.6508,            0.031221,                   0,           0.0095355,           0.0095355,           0.0095355
                 141,              1.4176,            0.031919,                   0,             0.72256,                0.75,             0.75756,             0.36899,              1.5274,            0.032461,                   0,           0.0095289,           0.0095289,           0.0095289
                 142,              1.4347,            0.031657,                   0,             0.65623,             0.67247,             0.62023,              0.2124,              2.0278,            0.029537,                   0,           0.0095223,           0.0095223,           0.0095223
                 143,              1.4232,            0.031288,                   0,             0.69548,             0.74513,             0.71612,             0.35344,              1.4698,            0.031827,                   0,           0.0095156,           0.0095156,           0.0095156
                 144,              1.4239,            0.030866,                   0,             0.65187,             0.73052,             0.64101,             0.32006,              1.4651,             0.03231,                   0,           0.0095088,           0.0095088,           0.0095088
                 145,               1.375,            0.031464,                   0,             0.71171,             0.76623,             0.71279,             0.37385,              1.4247,            0.032265,                   0,           0.0095021,           0.0095021,           0.0095021
                 146,              1.4287,            0.030731,                   0,              0.7589,             0.75162,             0.75323,             0.37431,              1.4148,            0.033062,                   0,           0.0094952,           0.0094952,           0.0094952
